imdbId,Genre
114709.0,"['Animation', 'Adventure', 'Comedy']"
113497.0,"['Action', 'Adventure', 'Family']"
114885.0,"['Comedy', 'Drama', 'Romance']"
113041.0,"['Comedy', 'Family', 'Romance']"
113277.0,"['Action', 'Crime', 'Drama']"
112302.0,"['Adventure', 'Comedy', 'Drama']"
114576.0,"['Action', 'Crime', 'Thriller']"
113189.0,"['Action', 'Adventure', 'Thriller']"
112346.0,"['Comedy', 'Drama', 'Romance']"
112896.0,"['Comedy', 'Fantasy', 'Horror']"
112453.0,"['Animation', 'Adventure', 'Drama']"
113987.0,"['Biography', 'Drama', 'History']"
112760.0,"['Action', 'Adventure', 'Comedy']"
112281.0,"['Adventure', 'Comedy', 'Crime']"
113845.0,"['Action', 'Comedy', 'Crime']"
113161.0,"['Comedy', 'Crime', 'Thriller']"
112722.0,"['Crime', 'Drama', 'Mystery']"
112401.0,"['Action', 'Crime', 'Thriller']"
114168.0,"['Drama', 'Fantasy', 'Mystery']"
114011.0,"['Comedy', 'Drama', 'Romance']"
115012.0,"['Crime', 'Drama', 'Romance']"
114746.0,"['Mystery', 'Sci-Fi', 'Thriller']"
112431.0,"['Comedy', 'Drama', 'Family']"
112637.0,"['Biography', 'Drama', 'Romance']"
112286.0,"['Adventure', 'Drama', 'Family']"
113442.0,"['Comedy', 'Family', 'Romance']"
112819.0,"['Action', 'Crime', 'Drama']"
114272.0,"['Biography', 'Drama', 'History']"
113855.0,"['Action', 'Adventure', 'Fantasy']"
114681.0,"['Comedy', 'Crime', 'Drama']"
113347.0,"['Comedy', 'Drama', 'Romance']"
114369.0,"['Crime', 'Drama', 'Mystery']"
114148.0,"['Animation', 'Adventure', 'Drama']"
114814.0,"['Crime', 'Drama', 'Mystery']"
109950.0,"['Action', 'Drama', 'Thriller']"
113819.0,"['Comedy', 'Fantasy', 'Romance']"
112499.0,"['Comedy', 'Family', 'Sport']"
113541.0,"['Adventure', 'Comedy', 'Family']"
113321.0,"['Comedy', 'Drama', 'Romance']"
110877.0,"['Biography', 'Comedy', 'Drama']"
112714.0,"['Drama', 'Mystery', 'Thriller']"
113419.0,"['Drama', 'Family', 'Fantasy']"
116260.0,"['Crime', 'Drama', 'Thriller']"
118002.0,"['Comedy', 'Crime', 'Romance']"
116839.0,"['Action', 'Sci-Fi', 'Thriller']"
116367.0,"['Action', 'Crime', 'Horror']"
113010.0,"['Action', 'Crime', 'Romance']"
113537.0,"['Comedy', 'Drama', 'Romance']"
113973.0,"['Documentary', 'Biography', 'Music']"
116151.0,"['Comedy', 'Adventure', 'Family']"
113972.0,"['Action', 'Crime', 'Drama']"
117002.0,"['Drama', 'Horror', 'Romance']"
114825.0,"['Comedy', 'Fantasy', 'Horror']"
115639.0,"['Comedy', 'Drama', 'Romance']"
115759.0,"['Action', 'Crime', 'Thriller']"
111173.0,"['Action', 'Crime', 'Drama']"
115734.0,"['Comedy', 'Crime', 'Drama']"
118040.0,"['Drama', 'Mystery', 'Sci-Fi']"
116483.0,"['Comedy', 'Family', 'Sport']"
117110.0,"['Action', 'Adventure', 'Comedy']"
113276.0,"['Comedy', 'Crime', 'Drama']"
112573.0,"['Biography', 'Drama', 'History']"
113326.0,"['Action', 'Comedy', 'Crime']"
115645.0,"['Crime', 'Drama', 'Mystery']"
112373.0,"['Documentary', 'Biography', 'War']"
117427.0,"['Adventure', 'Comedy', 'Drama']"
103859.0,"['Comedy', 'Drama', 'Romance']"
109424.0,"['Comedy', 'Drama', 'Romance']"
110647.0,"['Adventure', 'Comedy', 'Family']"
110217.0,"['Documentary', 'Biography', 'Mystery']"
113107.0,"['Drama', 'Romance', 'War']"
113451.0,"['Crime', 'Drama', 'Thriller']"
112585.0,"['Comedy', 'Drama', 'Romance']"
112442.0,"['Action', 'Comedy', 'Crime']"
112342.0,"['Family', 'Adventure', 'Drama']"
112461.0,"['Biography', 'Crime', 'Drama']"
112427.0,"['Comedy', 'Drama', 'Romance']"
109093.0,"['Comedy', 'Crime', 'Drama']"
112384.0,"['Adventure', 'Drama', 'History']"
114287.0,"['Adventure', 'Biography', 'History']"
112462.0,"['Action', 'Adventure', 'Fantasy']"
112642.0,"['Comedy', 'Family', 'Fantasy']"
112688.0,"['Crime', 'Drama', 'Mystery']"
112715.0,"['Action', 'Adventure', 'Mystery']"
112740.0,"['Action', 'Drama', 'Thriller']"
109508.0,"['Documentary', 'Biography', 'Comedy']"
112857.0,"['Crime', 'Drama', 'Mystery']"
112864.0,"['Action', 'Adventure', 'Thriller']"
112887.0,"['Action', 'Comedy', 'Crime']"
113071.0,"['Action', 'Adventure', 'Romance']"
113114.0,"['Adventure', 'Drama', 'Family']"
113243.0,"['Comedy', 'Crime', 'Drama']"
113481.0,"['Action', 'Crime', 'Sci-Fi']"
113492.0,"['Action', 'Crime', 'Sci-Fi']"
113690.0,"['Horror', 'Mystery', 'Thriller']"
113820.0,"['Action', 'Adventure', 'Family']"
113851.0,"['Comedy', 'Drama', 'Romance']"
113957.0,"['Action', 'Crime', 'Drama']"
114194.0,"['Action', 'Crime', 'Drama']"
114241.0,"['Comedy', 'Drama', 'Fantasy']"
114496.0,"['Comedy', 'Drama', 'Romance']"
114508.0,"['Action', 'Horror', 'Sci-Fi']"
114558.0,"['Action', 'Crime', 'Drama']"
58450.0,"['Drama', 'Musical', 'Romance']"
114666.0,"['Crime', 'Drama', 'Thriller']"
114702.0,"['Biography', 'Drama', 'Romance']"
114898.0,"['Action', 'Adventure', 'Sci-Fi']"
114938.0,"['Action', 'Biography', 'Western']"
112602.0,"['Adventure', 'Comedy', 'Crime']"
112643.0,"['Drama', 'Horror', 'Mystery']"
112883.0,"['Comedy', 'Drama', 'Romance']"
109676.0,"['Action', 'Adventure', 'Thriller']"
112854.0,"['Crime', 'Comedy', 'Fantasy']"
109579.0,"['Drama', 'Mystery', 'Thriller']"
